source,keyword_or_blog,title,url,date
rss,hun1188,부산대학교 교직원 대상 Canva 활용 특강 후기｜실무형 캔바 교육｜이지쌤,https://blog.naver.com/hun1188/224274457513?fromRss=true&trackingCode=rss,2026-05-04
rss,hun1188,연세대학교 글로벌캠퍼스 신입생 대상 캔바 활용 특강 후기 | 대학생 캔바 교육 | 이지쌤,https://blog.naver.com/hun1188/224268919644?fromRss=true&trackingCode=rss,2026-04-30
rss,hun1188,캔바 AI 실무서 《이게 되네? Canva AI 미친 활용법 47제》 예약 판매 시작!,https://blog.naver.com/hun1188/224270375579?fromRss=true&trackingCode=rss,2026-04-30
rss,hun1188,강원도립대학교 학생 및 교직원 대상 캔바 활용 특강 후기 | 캔바 대학 강의 | 이지쌤,https://blog.naver.com/hun1188/224267726193?fromRss=true&trackingCode=rss,2026-04-29
rss,hun1188,"AI 이미지, 이제 다시 만들지 말고 바로 수정하세요! | Canva Magic Layers 사용법 | 이지쌤",https://blog.naver.com/hun1188/224266829409?fromRss=true&trackingCode=rss,2026-04-27
rss,hun1188,"Canva AI 2.0, 캔바 크리에이터들의 이야기｜워크스마트 ‘이지 라운지’ 후기",https://blog.naver.com/hun1188/224263770707?fromRss=true&trackingCode=rss,2026-04-24
rss,hun1188,네이버 임직원 대상 캔바 활용 특강 | 비즈니스에 바로 쓰는 Canva 활용법 | 이지쌤,https://blog.naver.com/hun1188/224262247679?fromRss=true&trackingCode=rss,2026-04-23
rss,hun1188,<Canva로 일하는 회사는 이렇게 합니다> 세미나 참가자 모집!,https://blog.naver.com/hun1188/224261359890?fromRss=true&trackingCode=rss,2026-04-22
rss,hun1188,<Canva Create 2026>에서 공개한 Canva AI 2.0 신기능 핵심 정리!,https://blog.naver.com/hun1188/224260064364?fromRss=true&trackingCode=rss,2026-04-21
rss,hun1188,Canva AI 2.0 새롭게 시작하는 캔바의 미래! 캔바 크리에이트 2026 본행사 참석 후기,https://blog.naver.com/hun1188/224258807382?fromRss=true&trackingCode=rss,2026-04-20
rss,hun1188,캔바가 AI 플랫폼으로 진화하는 순간! 캔바 크리에이트 2026 파트너 익스피리언스(Partner Experience) 현장 이지쌤,https://blog.naver.com/hun1188/224255523279?fromRss=true&trackingCode=rss,2026-04-17
